Date,t (Trading Volume),p-value (Trading Volume),t (Search),p-value (Search),GC-index (Search → Trading Volume),p-value (Search → Trading Volume),GC-index (Trading Volume → Search),p-value (Trading Volume → Search)
2021-01-21,-3.956,0.002,-5.747,0.0,0.001,0.908,0.129,0.2
2021-01-22,-3.185,0.021,-4.357,0.0,0.02,0.613,0.117,0.222
2021-01-23,-3.248,0.017,-3.976,0.002,0.012,0.697,0.112,0.232
2021-01-24,-3.248,0.017,-3.976,0.002,0.012,0.697,0.112,0.232
2021-01-25,-3.248,0.017,-3.976,0.002,0.012,0.697,0.112,0.232
2021-01-26,-4.106,0.001,-3.245,0.018,0.0,0.985,0.05,0.427
2021-01-27,-3.86,0.002,-4.153,0.001,0.059,0.386,0.196,0.114
2021-01-28,-6.42,0.0,-3.238,0.018,0.201,0.109,0.273,0.062
2021-01-29,-5.272,0.0,-3.11,0.026,0.17,0.141,0.165,0.147
2021-01-30,-2.991,0.036,-2.965,0.038,0.029,0.546,0.021,0.609
2021-01-31,-2.991,0.036,-2.965,0.038,0.029,0.546,0.021,0.609
2021-02-01,-2.991,0.036,-2.965,0.038,0.029,0.546,0.021,0.609
2021-02-02,-1.489,0.539,0.386,0.981,0.12,0.217,0.022,0.594
2021-02-03,-2.99,0.036,-2.968,0.038,0.093,0.276,0.098,0.263
2021-02-04,-3.968,0.002,-2.536,0.107,0.104,0.25,0.214,0.098
2021-02-05,-3.84,0.003,-2.285,0.177,0.002,0.883,0.02,0.611
2021-02-06,-3.618,0.005,-2.321,0.165,0.0,0.952,0.021,0.602
2021-02-07,-3.618,0.005,-2.321,0.165,0.0,0.952,0.021,0.602
2021-02-08,-3.618,0.005,-2.321,0.165,0.0,0.952,0.021,0.602
2021-02-09,-3.574,0.006,-2.316,0.167,0.0,0.971,0.023,0.591
2021-02-10,-3.491,0.008,-2.328,0.163,0.0,0.958,0.032,0.524
2021-02-11,-3.513,0.008,-2.271,0.181,0.0,0.998,0.022,0.6
2021-02-12,-3.701,0.004,-2.161,0.221,0.001,0.934,0.017,0.674
2021-02-13,-7.995,0.0,-7.143,0.0,0.033,0.602,0.05,0.523
2021-02-14,-7.995,0.0,-7.143,0.0,0.033,0.602,0.05,0.523
2021-02-15,-7.995,0.0,-7.143,0.0,0.033,0.602,0.05,0.523
2021-02-16,-5.66,0.0,-1.123,0.706,0.266,0.14,0.058,0.493
2021-02-17,-0.316,0.923,1.679,0.998,0.328,0.101,0.002,0.887
2021-02-18,-2.939,0.041,-3.166,0.022,0.054,0.506,0.048,0.531
2021-02-19,-2.817,0.056,-2.269,0.182,0.001,0.938,0.002,0.905
2021-02-20,-2.946,0.04,-2.797,0.059,0.007,0.813,0.011,0.769
2021-02-21,-2.946,0.04,-2.797,0.059,0.007,0.813,0.011,0.769
2021-02-22,-2.946,0.04,-2.797,0.059,0.007,0.813,0.011,0.769
2021-02-23,-2.815,0.056,-2.759,0.064,0.054,0.505,0.043,0.554
2021-02-24,-2.705,0.073,-2.736,0.068,0.0,0.967,0.001,0.922
2021-02-25,-8.265,0.0,-32.046,0.0,0.002,0.911,0.0,0.977
2021-02-26,-9.686,0.0,-15.175,0.0,0.002,0.897,0.0,0.973
2021-02-27,-3.103,0.026,-8.37,0.0,0.0,0.94,0.001,0.892
2021-02-28,-3.103,0.026,-8.37,0.0,0.0,0.94,0.001,0.892
2021-03-01,-3.103,0.026,-8.37,0.0,0.0,0.94,0.001,0.892
2021-03-02,-7.159,0.0,-8.995,0.0,0.027,0.598,0.075,0.376
2021-03-03,-3.344,0.013,-2.613,0.09,0.067,0.404,0.156,0.202
2021-03-04,-3.239,0.018,-3.264,0.017,0.013,0.717,0.083,0.352
2021-03-05,-2.693,0.075,-2.619,0.089,0.341,0.058,0.228,0.122
2021-03-06,-3.011,0.034,-2.735,0.068,0.134,0.237,0.067,0.404
2021-03-07,-3.011,0.034,-2.735,0.068,0.134,0.237,0.067,0.404
2021-03-08,-3.011,0.034,-2.735,0.068,0.134,0.237,0.067,0.404
2021-03-09,-3.423,0.01,-3.23,0.018,0.198,0.15,0.131,0.242
2021-03-10,-3.463,0.009,-3.078,0.028,0.133,0.238,0.118,0.267
2021-03-11,-5.86,0.0,-5.891,0.0,0.161,0.195,0.169,0.184
2021-03-12,-4.386,0.0,-3.815,0.003,0.047,0.484,0.035,0.543
2021-03-13,-3.663,0.005,-3.463,0.009,0.126,0.252,0.153,0.206
2021-03-14,-3.663,0.005,-3.463,0.009,0.126,0.252,0.153,0.206
2021-03-15,-3.663,0.005,-3.463,0.009,0.126,0.252,0.153,0.206
2021-03-16,-4.476,0.0,-2.858,0.05,0.101,0.256,0.03,0.538
2021-03-17,-3.331,0.014,-6.25,0.0,0.329,0.04,0.225,0.09
2021-03-18,-4.514,0.0,-5.745,0.0,0.285,0.056,0.163,0.149
2021-03-19,-4.854,0.0,-6.063,0.0,0.325,0.042,0.159,0.154
2021-03-20,-5.814,0.0,-6.48,0.0,0.329,0.04,0.172,0.139
